AREA_TITLE,TOT_EMP_2021,JOBS_1000_2021,A_MEDIAN_2021,TOT_EMP_2024,JOBS_1000_2024,A_MEDIAN_2024,TOT_EMP_change_%,JOBS_1000_change_%,A_MEDIAN_change_%
Alabama,14240.0,7.385,99510.0,18020.0,8.616,113020.0,27,17,14
Alaska,270.0,0.927,103010.0,430.0,1.352,119600.0,59,46,16
Arizona,35490.0,12.318,102980.0,35650.0,11.153,128690.0,0,-9,25
Arkansas,4390.0,3.689,92580.0,6390.0,4.959,96820.0,46,34,5
California,228240.0,13.808,140510.0,292630.0,16.205,170910.0,28,17,22
Colorado,38860.0,14.825,121130.0,48980.0,16.942,134540.0,26,14,11
Connecticut,14480.0,9.205,104160.0,16490.0,9.803,130870.0,14,6,26
Delaware,5550.0,12.732,108440.0,3850.0,8.084,135160.0,-31,-37,25
District of Columbia,9460.0,14.291,129010.0,8250.0,11.638,136040.0,-13,-19,5
Florida,59570.0,6.922,101140.0,82610.0,8.412,126550.0,39,22,25
Georgia,45640.0,10.424,117150.0,47350.0,9.751,128920.0,4,-6,10
Hawaii,1920.0,3.497,101990.0,1940.0,3.125,119880.0,1,-11,18
Idaho,4890.0,6.465,96530.0,4960.0,5.868,107900.0,1,-9,12
Illinois,50060.0,8.909,102990.0,54490.0,8.984,127770.0,9,1,24
Indiana,11760.0,3.942,95360.0,12690.0,3.984,103570.0,8,1,9
Iowa,10640.0,7.163,99510.0,9840.0,6.298,109850.0,-8,-12,10
Kansas,10580.0,7.903,99320.0,15850.0,11.077,106660.0,50,40,7
Kentucky,5030.0,2.735,98750.0,7070.0,3.547,106200.0,41,30,8
Louisiana,2370.0,1.322,84620.0,3870.0,2.027,102290.0,63,53,21
Maine,2810.0,4.74,99050.0,2740.0,4.318,113800.0,-2,-9,15
Maryland,25710.0,10.098,127690.0,31940.0,11.628,137890.0,24,15,8
Massachusetts,58980.0,17.376,128160.0,54260.0,14.895,150520.0,-8,-14,17
Michigan,37490.0,9.235,98560.0,41490.0,9.45,107820.0,11,2,9
Minnesota,36860.0,13.476,102950.0,39580.0,13.553,124540.0,7,1,21
Mississippi,2020.0,1.834,77960.0,3200.0,2.757,86460.0,58,50,11
Missouri,19370.0,7.101,99780.0,17060.0,5.845,114550.0,-12,-18,15
Montana,1360.0,2.894,80610.0,2070.0,4.061,100190.0,52,40,24
Nebraska,7350.0,7.666,101810.0,8940.0,8.795,116420.0,22,15,14
Nevada,3480.0,2.697,99510.0,4640.0,3.032,129030.0,33,12,30
New Hampshire,6580.0,10.366,106730.0,8010.0,11.722,132420.0,22,13,24
New Jersey,46630.0,12.111,127100.0,57120.0,13.438,132400.0,22,11,4
New Mexico,2540.0,3.271,98750.0,4810.0,5.591,120820.0,89,71,22
New York,75790.0,8.743,127870.0,104130.0,10.913,161260.0,37,25,26
North Carolina,51010.0,11.535,119090.0,57590.0,11.757,131000.0,13,2,10
North Dakota,1750.0,4.42,78730.0,1510.0,3.553,98550.0,-14,-20,25
Ohio,46110.0,8.866,99880.0,44280.0,8.013,107690.0,-4,-10,8
Oklahoma,5890.0,3.779,95360.0,7150.0,4.225,107420.0,21,12,13
Oregon,18610.0,10.196,103590.0,21100.0,10.736,135260.0,13,5,31
Pennsylvania,40130.0,7.188,100720.0,47350.0,7.873,123740.0,18,10,23
Rhode Island,3490.0,7.63,105100.0,6010.0,12.176,128660.0,72,60,22
South Carolina,7160.0,3.464,98510.0,12230.0,5.384,108690.0,71,55,10
South Dakota,1770.0,4.197,78990.0,2190.0,4.827,87770.0,24,15,11
Tennessee,12640.0,4.23,98180.0,18750.0,5.727,117340.0,48,35,20
Texas,103510.0,8.466,103350.0,151460.0,10.938,130500.0,46,29,26
Utah,18200.0,11.71,102600.0,29160.0,17.053,127390.0,60,46,24
Vermont,1540.0,5.426,99210.0,,,130720.0,,,32
Virginia,68250.0,18.183,127630.0,83290.0,20.492,134470.0,22,13,5
Washington,81520.0,25.428,151960.0,91470.0,25.84,166910.0,12,2,10
West Virginia,1640.0,2.489,78860.0,2280.0,3.245,103550.0,39,30,31
Wisconsin,19940.0,7.237,97550.0,22170.0,7.582,103360.0,11,5,6
Wyoming,620.0,2.379,80090.0,1020.0,3.67,112590.0,65,54,41
Puerto Rico,1170.0,1.386,58930.0,1580.0,1.685,64350.0,35,22,9
