Title,Commodity Title,Hot Technology,In Demand,TECH_CATEGORY
Computer Systems Analysts,Document management software,Y,N,Hot Only
Computer Systems Analysts,Graphics or photo imaging software,Y,N,Hot Only
Computer Systems Analysts,Graphics or photo imaging software,Y,N,Hot Only
Computer Systems Analysts,Web platform development software,Y,N,Hot Only
Computer Systems Analysts,Data base management system software,Y,N,Hot Only
Computer Systems Analysts,Data base user interface and query software,Y,N,Hot Only
Computer Systems Analysts,Data base user interface and query software,Y,N,Hot Only
Computer Systems Analysts,Cloud-based management software,Y,N,Hot Only
Computer Systems Analysts,Data base user interface and query software,Y,N,Hot Only
Computer Systems Analysts,Expert system software,Y,N,Hot Only
Computer Systems Analysts,Data base management system software,Y,N,Hot Only
Computer Systems Analysts,Data base management system software,Y,N,Hot Only
Computer Systems Analysts,Data base management system software,Y,N,Hot Only
Computer Systems Analysts,Development environment software,Y,N,Hot Only
Computer Systems Analysts,Development environment software,Y,N,Hot Only
Computer Systems Analysts,Business intelligence and data analysis software,Y,N,Hot Only
Computer Systems Analysts,File versioning software,Y,N,Hot Only
Computer Systems Analysts,Web platform development software,Y,N,Hot Only
Computer Systems Analysts,Operating system software,Y,N,Hot Only
Computer Systems Analysts,Project management software,Y,N,Hot Only
Computer Systems Analysts,Content workflow software,Y,Y,Hot & In Demand
Computer Systems Analysts,Operating system software,Y,N,Hot Only
Computer Systems Analysts,Development environment software,Y,N,Hot Only
Computer Systems Analysts,Object or component oriented development software,Y,N,Hot Only
Computer Systems Analysts,Object or component oriented development software,Y,N,Hot Only
Computer Systems Analysts,Web platform development software,Y,N,Hot Only
Computer Systems Analysts,Configuration management software,Y,N,Hot Only
Computer Systems Analysts,Video conferencing software,Y,N,Hot Only
Computer Systems Analysts,Web platform development software,Y,N,Hot Only
Computer Systems Analysts,Application server software,Y,N,Hot Only
Computer Systems Analysts,Development environment software,Y,N,Hot Only
Computer Systems Analysts,Data base management system software,Y,N,Hot Only
Computer Systems Analysts,Medical software,Y,N,Hot Only
